CD_REGIAO,NM_REGIAO,CD_UF,NM_UF,CD_MUN,NM_MUN,CD_DIST,NM_DIST,POP_2022,AREA_KM2_CALCULADA,LAT,LON
1,Norte,12,Acre,1200609,Tarauacá,120060905,Tarauacá,43467,21091.728766900975,-8.271908023016236,-71.44775218232614
1,Norte,12,Acre,1200708,Xapuri,120070805,Xapuri,18243,5517.088969915163,-10.610086322861886,-68.45794349524161
1,Norte,12,Acre,1200807,Porto Acre,120080705,Porto Acre,9265,2669.90665046802,-9.639733005839563,-67.65246152665733
1,Norte,12,Acre,1200807,Porto Acre,120080720,Vila do Caquetá,1817,2.5733306331008303,-9.751468775581428,-67.36141732249683
1,Norte,12,Acre,1200807,Porto Acre,120080723,Vila do Incra,3584,2.323918302445053,-9.723507680424431,-67.70246049897779
1,Norte,12,Acre,1200807,Porto Acre,120080725,Vila do V,2027,1.9821265097273832,-9.677120845678665,-67.74277564014326
1,Norte,13,Amazonas,1300029,Alvarães,130002905,Alvarães,15866,6038.939168552362,-3.6776012521863666,-65.3414154505753
1,Norte,13,Amazonas,1300060,Amaturá,130006005,Amaturá,10819,4902.361179778929,-3.418744164834735,-68.35002997734941
1,Norte,13,Amazonas,1300086,Anamã,130008605,Anamã,9962,2468.3975478990224,-3.4743304845287795,-61.670175634390176
1,Norte,13,Amazonas,1300102,Anori,130010205,Anori,17194,6096.504473431485,-4.217205685969436,-61.964961533594675
1,Norte,13,Amazonas,1300144,Apuí,130014405,Apuí,18352,29377.54605595294,-7.658272020526103,-59.992790522822325
1,Norte,13,Amazonas,1300144,Apuí,130014410,Sucunduri,2295,25106.85944275573,-7.594819081129589,-58.76244667228425
1,Norte,13,Amazonas,1300201,Atalaia do Norte,130020105,Atalaia do Norte,15314,80169.26335126907,-5.671980151233577,-71.7202993981929
1,Norte,13,Amazonas,1300300,Autazes,130030005,Autazes,32854,6446.751002917585,-3.8343896790145586,-59.452481641710705
1,Norte,13,Amazonas,1300300,Autazes,130030010,Murutinga,8710,1241.8559762995837,-3.4246511049198536,-59.17254418165096
1,Norte,13,Amazonas,1300409,Barcelos,130040905,Barcelos,18834,124144.31953353128,-0.14036235905337774,-63.17940783573577
1,Norte,13,Amazonas,1300508,Barreirinha,130050805,Barreirinha,12352,707.5218805137165,-2.879553794808738,-57.08437934723852
1,Norte,13,Amazonas,1300508,Barreirinha,130050810,Ariaú,5238,2877.817074890712,-3.357537073694857,-57.09677522923794
1,Norte,13,Amazonas,1300508,Barreirinha,130050812,Cametá,3020,597.3962584926072,-2.959742679054977,-57.34511098270015
1,Norte,13,Amazonas,1300508,Barreirinha,130050815,Freguesia do Andirá,5336,716.4335467731631,-2.9949451448103965,-57.08360261049861
1,Norte,13,Amazonas,1300508,Barreirinha,130050820,Pedras,5105,861.4592690048395,-2.7882199724057073,-57.25848423467634
1,Norte,13,Amazonas,1300607,Benjamin Constant,130060705,Benjamin Constant,37648,9055.716301469844,-5.507482860288852,-70.31665161600431
1,Norte,13,Amazonas,1300631,Beruri,130063105,Beruri,20718,17635.403481727568,-4.544131401232234,-61.74098132999519
1,Norte,13,Amazonas,1300680,Boa Vista do Ramos,130068005,Boa Vista do Ramos,15859,765.4867285836996,-2.9548205123977755,-57.535530280028304
1,Norte,13,Amazonas,1300680,Boa Vista do Ramos,130068010,Lago Preto,3381,667.7230233120245,-3.149278760977696,-57.93896801817024
1,Norte,13,Amazonas,1300680,Boa Vista do Ramos,130068015,Massauari,2705,916.305996429363,-3.2729539841132347,-57.533451004144496
1,Norte,13,Amazonas,1300680,Boa Vista do Ramos,130068020,Do Rio Urubu,1840,245.24152256416738,-3.164789193698736,-57.83860952568498
1,Norte,13,Amazonas,1300706,Boca do Acre,130070605,Boca do Acre,30308,16852.633797067974,-8.58271388060087,-68.05061708965435
1,Norte,13,Amazonas,1300706,Boca do Acre,130070610,Floriano Peixoto,5139,5734.89971072976,-9.282271832227694,-67.7367264020787
